n,kappa,method,left_tail,A,B,mean_length,median_length,p90_length,mean_to_median,true_power
8,1.0,Median-opt,0.04999954378826583,2.167342578349734,42.29504046324093,0.5249695825443912,0.560745478016862,0.7107485325204501,0.9361994044089375,0.81501943423648
8,1.25,Equal-tail,0.025,1.689869180677355,16.01276427462931,0.46124983149004195,0.4992591957261736,0.6480345763977106,0.9238684744086747,0.9361656740321997
8,1.25,Expected-opt,0.049937448030363485,2.1663444225126316,30.985723524679997,0.39277296296228026,0.4142127407471544,0.6133529885597183,0.9482396950267603,0.9361656740321997
8,1.25,Median-MC,0.04994067794749892,2.1663963577533654,31.11053387828274,0.3927730675134402,0.41420411490174014,0.6133587183042835,0.9482596946353757,0.9361656740321997
8,1.25,Median-opt,0.04999954378826583,2.167342578349734,42.29504046324093,0.3929094665892752,0.41404698419149,0.613555197617586,0.9489489878944777,0.9361656740321997
16,0.25,Equal-tail,0.025,6.262137795043253,27.488392863442964,0.22920145582690166,0.21799491892451306,0.32255671640256756,1.0514073307656735,0.24518318522453564
16,0.25,Expected-opt,0.015102442481057918,5.660956082984938,26.308999074958525,0.2260565086601152,0.21449771061361034,0.3189891251490431,1.0538877455308906,0.24518318522453564
16,0.25,Median-MC,0.014410571753093128,5.609357019998629,26.23848820763092,0.22607398866939707,0.2144809436938333,0.3190652215466746,1.054051631701661,0.24518318522453564
16,0.25,Median-opt,0.01441286655413874,5.609531080120722,26.238720015718133,0.22607387198470186,0.2144809434964483,0.31906488777703634,1.05405108863877,0.24518318522453564
16,0.5,Equal-tail,0.025,6.262137795043253,27.488392863442964,0.46112868889230146,0.47643949186378287,0.4966347812741213,0.9678641186699551,0.6040328683316012
16,0.5,Expected-opt,0.030072650988224824,6.506517735014335,28.271962506115177,0.45983200442944266,0.4752700880152758,0.4939962331098011,0.9675172413010411,0.6040328683316012
16,0.5,Median-MC,0.031227161648024637,6.558134029300976,28.47592585496293,0.4599018318318027,0.47539130483604997,0.49381957827147394,0.9674174246632694,0.6040328683316012
16,0.5,Median-opt,0.029704045457770237,6.489755026970075,28.209142591036667,0.45983902056001696,0.47524550461201265,0.49408500653925747,0.9675820520078913,0.6040328683316012
16,0.75,Equal-tail,0.025,6.262137795043253,27.488392863442964,0.3677346693291102,0.3919972421942405,0.48678277700133976,0.9381052460233692,0.8879564175026065
16,0.75,Expected-opt,0.04813888716553927,7.199972785130052,35.84500263252704,0.33442764609093617,0.3485675621934444,0.48319413291405455,0.9594342169606103,0.8879564175026065
16,0.75,Median-MC,0.04984470903060967,7.255912690375449,43.0386442932728,0.3364233182289703,0.34722522271191725,0.4945426093656936,0.9688907839166138,0.8879564175026065
16,0.75,Median-opt,0.04982521157860069,7.2552802885627905,42.70738910196167,0.33631663796817457,0.34722442923168717,0.49415587236816205,0.9685857608358704,0.8879564175026065
16,1.0,Equal-tail,0.025,6.262137795043253,27.488392863442964,0.19636037547760707,0.1902451853831938,0.3479625430897396,1.0321437311651067,0.9848476650472565
16,1.0,Expected-opt,0.04999040501405167,7.26063335182338,50.602538482188585,0.15513711934670954,0.14240405999061934,0.2971152634941444,1.0894150023315976,0.9848476650472565
16,1.0,Median-MC,0.04994067794749892,7.259023147303132,45.70062237993432,0.15516308465531442,0.14247168515395758,0.29714905740853226,1.0890801529275258,0.9848476650472565
16,1.0,Median-opt,0.04999954378826583,7.260929161617798,58.49791955084248,0.15514518946818406,0.1423916397890218,0.2971219148566422,1.0895667027787508,0.9848476650472565
